Method,Num Communities,Max Size,Avg Size,Modularity,Avg. density:,Avg. degree:,Avg. clustering:,Execution Time (s)
Louvain,4,14,8.5,0.4438541256723075,0.49264069264069266,3.074025974025974,0.6093073593073594,0.0009009838104248047
Leiden,4,12,8.5,0.44490358126721763,0.4507575757575758,3.103787878787879,0.502827380952381,0.0014121532440185547
Infomap,3,17,11.333333333333334,0.4321039710650101,0.40454545454545454,3.466666666666667,0.5632783701411153,0.0015799999237060547
Girvan Newman,4,18,8.5,0.3580611307884035,0.41612200435729846,3.407407407407408,0.5508182558182558,9.083747863769531e-05
Fast Label Propagation,2,29,17.0,0.1420044601862783,0.383743842364532,3.544827586206896,0.44477866904337493,7.605552673339844e-05
Walktrap,5,9,6.8,0.3231573621184011,0.47714285714285715,2.5561904761904763,0.367089947089947,0.0006110668182373047
Greedy Modularity,3,17,11.333333333333334,0.41096493693896297,0.34656084656084657,3.2962962962962963,0.5038427440388225,0.0020008087158203125
