Method,Num Communities,Max Size,Avg Size,Modularity,Avg. density:,Avg. degree:,Avg. clustering:,Execution Time (s)
Louvain,6,15,10.0,0.5698043923451734,0.29374625374625374,3.091188811188811,0.15103885003885004,0.0017957687377929688
Leiden,5,17,12.0,0.5981569098227526,0.25331555699202757,3.450667959491489,0.1676332327802916,0.00432896614074707
Infomap,7,15,8.571428571428571,0.5826919002895276,0.4672975172975173,2.8122100122100124,0.17139601139601138,0.003268003463745117
Girvan Newman,5,18,12.0,0.5732292917166867,0.24671660039307097,3.340783399606929,0.16925179939885823,7.295608520507812e-05
Fast Label Propagation,8,22,7.5,0.5179012781583222,0.5352504638218923,2.406926406926407,0.14624819624819624,7.700920104980469e-05
Walktrap,6,13,10.0,0.5823388178800932,0.2960839160839161,3.202097902097902,0.1893101343101343,0.0007410049438476562
Greedy Modularity,5,17,12.0,0.5981569098227526,0.25331555699202757,3.450667959491489,0.1676332327802916,0.0030388832092285156
