Method,Num Communities,Max Size,Avg Size,Modularity,Avg. density:,Avg. degree:,Avg. clustering:,Execution Time (s)
Louvain,15914,18220,16.66545180344351,0.779258705883519,0.4643091628788335,1.0743310291388548,0.00017531894331021796,9.838948011398315
Fast Label Propagation,17550,7635,15.111908831908831,0.6837764173849715,0.4320364303344624,1.169653247913304,0.0010840499834131147,5.125999450683594e-05
Leiden,15941,15653,16.637224766325826,0.007934623838725521,0.03334831584601561,0.07216038307994763,1.0451865850992336e-06,5.055366277694702
Infomap,17767,7635,14.927337198176394,0.007645229783630877,0.030895594599905353,0.06800391772490347,6.146613688234368e-07,60.85550093650818
