Method,Num Communities_mean,Num Communities_std,Num Communities_min,Num Communities_max,Max Size_mean,Max Size_std,Max Size_min,Max Size_max,Avg Size_mean,Avg Size_std,Avg Size_min,Avg Size_max,Modularity_mean,Modularity_std,Modularity_min,Modularity_max,Avg. density:_mean,Avg. density:_std,Avg. density:_min,Avg. density:_max,Avg. degree:_mean,Avg. degree:_std,Avg. degree:_min,Avg. degree:_max,Avg. clustering:_mean,Avg. clustering:_std,Avg. clustering:_min,Avg. clustering:_max,Execution Time (s)_mean,Execution Time (s)_std,Execution Time (s)_min,Execution Time (s)_max
Fast Label Propagation,17563.65,11.80598632606856,17532,17591,7635.55,1.1403968828900184,7634,7637,15.100171014631655,0.010150746459690555,15.076686942186345,15.127424138717773,0.6840488384450767,0.0009534155023663855,0.6819164809527936,0.6871741408780068,0.43200073604955386,0.00019138825476276087,0.43142704616348765,0.4325564394095907,1.1700494709887765,0.0005849489937157659,1.1674632786539012,1.1715042285998838,0.0011425998710603838,8.72991142120372e-05,0.0008595501764084984,0.0012939414461192653,2.9714107513427733e-05,9.360269270991036e-05,4.76837158203125e-06,0.0009357929229736328
Infomap,17821.51,91.4436952115314,17603,18057,7635.0,0.0,7635,7635,14.882066964977533,0.07627777244769784,14.687600376585257,15.066409134806568,0.007635453877956451,2.0508023321873788e-05,0.007565359660345147,0.007673234354892201,0.030907653064329667,1.8693325067687285e-05,0.030864288572512943,0.030972350048569137,0.06800988663315967,4.133970339682657e-05,0.06791995717303714,0.06815403060854702,8.008273414390608e-07,1.1690376145752884e-07,5.112658394177025e-07,9.904978127600185e-07,89.14603406190872,25.039105580580227,57.66285991668701,158.75565695762634
Leiden,15941.46,4.593407660919772,15931,15954,16765.27,1179.377989244818,13706,19417,16.63674605705208,0.004793574795700295,16.623668045631188,16.647668068545602,0.008099861532152834,0.00018159281610336463,0.007624889080228296,0.008415981127386108,0.033348326930085534,9.180179425164759e-06,0.03332230031328521,0.033369520641665096,0.07217631909876751,1.692721155431895e-05,0.0721202359586048,0.07221903665223912,1.126028000512926e-06,9.929536348158652e-08,9.903196458305938e-07,1.453726818078867e-06,4.975142230987549,0.0852597815343886,4.737298011779785,5.255919933319092
Louvain,15913.87,2.6577692476464843,15907,15922,18025.57,1084.242706950689,15342,20249,16.665588403270707,0.002783209713864538,16.65707825650044,16.672785566102974,0.7789118518702768,0.0007383182166747685,0.7759739423444793,0.7800192031151777,0.46431890525540637,7.42201637138339e-05,0.4640856586627,0.46452806541774505,1.0743405579810563,0.0001787233524931601,1.0738100002632796,1.074888538863949,0.0001821783786058468,8.610390027597164e-06,0.00016642404944619874,0.0002171291847022053,10.342489373683929,0.6536235342200389,9.16045093536377,12.907131910324097
