Method,Num Communities,Max Size,Avg Size,Modularity,Avg. density:,Avg. degree:,Avg. clustering:,Execution Time (s)
Louvain,15918,16271,16.66126397788667,0.7916074179929841,0.9283736902880106,1.0736953498364403,0.0002327431567333291,10.360695123672485
Leiden,15945,15994,16.63305111320163,0.8053391219046703,0.03691799228747956,0.04367781212061175,1.5062427680859824e-05,4.312483072280884
Infomap,17509,7634,15.147295676509223,0.007978296043295125,0.060829589814348974,0.06733716916652377,2.2863831371011603e-06,168.21975088119507
