Method,Num Communities,Max Size,Avg Size,Modularity,Avg. density:,Avg. degree:,Avg. clustering:,Execution Time (s)
Louvain,15914,16176,16.66545180344351,0.779368455272696,0.46432855423430613,1.074302566981272,0.00018288226839573968,11.309139013290405
Fast Label Propagation,17562,7637,15.101582963216035,0.683734364968118,0.4322300851988735,1.1692321170944993,0.0010883415531983145,0.0003609657287597656
Leiden,15937,15265,16.641400514525944,0.008036021219528665,0.033356794708457885,0.07217970946499908,1.0521690280843577e-06,4.978595018386841
Infomap,17691,7635,14.991464586512917,0.007639713307066181,0.030898819325072522,0.06800241585809226,7.156625873135129e-07,134.451997756958
